"","ATC5","ATC5Description"
"1","A01AB","Antiinfectives and antiseptics for local oral treatment"
"2","A01AD","Other agents for local oral treatment"
"3","A02AD","Combinations and complexes of aluminium, calcium and magnesium compounds"
"4","A02AH","Antacids with sodium bicarbonate"
"5","A02BA","H2-receptor antagonists"
"6","A02BC","Proton pump inhibitors"
"7","A02BX","Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)"
"8","A02DA","Antiflatulents"
"9","A03AB","Synthetic anticholinergics, quaternary ammonium compounds"
"10","A03BB","Belladonna alkaloids semisynthetic, quaternary ammonium compounds"
"11","A03FA","Propulsives"
"12","A04AA","Serotonin (5HT3) antagonists"
"13","A04AD","Other antiemetics"
"14","A05AA","Bile acid preparations"
"15","A06AB","Contact laxatives"
"16","A06AD","Osmotically acting laxatives"
"17","A07BA","Charcoal preparations"
"18","A07CA","Oral rehydration salt formulations"
"19","A07DA","Antipropulsives"
"20","A07EA","Corticosteroids for local use"
"21","A07EC","Aminosalicylic acid and similar agents"
"22","A07FA","Antidiarrheal microorganisms"
"23","A09AA","Enzyme preparations"
"24","A10AB","Insulins and analogues, fast-acting"
"25","A10AC","Insulins and analogues, intermediate-acting"
"26","A10AD","Insulins and analogues, intermediate-acting combined with fast-acting"
"27","A10AE","Insulins and analogues, long-acting"
"28","A10BA","Biguanides"
"29","A10BB","Sulfonamides, urea derivatives"
"30","A10BD","Biguanides and sulfonamides in combination"
"31","A10BF","Alpha glucosidase inhibitors"
"32","A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"33","A10BX","Other oral blood glucose lowering drugs"
"34","A11CC","Vitamin D and analogues"
"35","A11EA","Vitamin B-complex, plain"
"36","A12AA","Calcium"
"37","A12BA","Potassium"
"38","A16AX","Various alimentary tract and metabolism products"
"39","B01AA","Vitamin K antagonists"
"40","B01AB","Heparin group"
"41","B01AC","Platelet aggregation inhibitors excl. heparin"
"42","B01AE","Direct thrombin inhibitors"
"43","B01AF","Direct factor Xa inhibitors"
"44","B01AX","Other antithrombotic agents"
"45","B03AA","Iron bivalent, oral preparations"
"46","B03AB","Iron trivalent, oral preparations"
"47","B03BB","Folic acid and derivatives"
"48","B03XA","Other antianemic preparations"
"49","B05BB","Solutions affecting the electrolyte balance"
"50","B06AA","Enzymes"
"51","C01","Cardiac therapy"
"52","C01AA","Digitalis glycosides"
"53","C01BC","Antiarrhythmics, class IC"
"54","C01BD","Antiarrhythmics, class III"
"55","C01CA","Adrenergic and dopaminergic agents"
"56","C01DA","Organic nitrates"
"57","C01EB","Other cardiac preparations"
"58","C02AB","Methyldopa"
"59","C02AC","Imidazoline receptor agonists"
"60","C02CA","Alpha-adrenoreceptor antagonists"
"61","C02LA","Rauwolfia alkaloids and diuretics in combination"
"62","C03BA","Sulfonamides, plain"
"63","C03CA","Sulfonamides, plain"
"64","C03DA","Aldosterone antagonists"
"65","C04AD","Purine derivatives"
"66","C04AE","Ergot alkaloids"
"67","C05AD","Products containing local anesthetics"
"68","C05AX","Other antihemorrhoidals for topical use"
"69","C05BA","Heparins or heparinoids for topical use"
"70","C05CA","Bioflavonoids"
"71","C07AA","Beta blocking agents, non-selective"
"72","C07AB","Beta blocking agents, selective"
"73","C07AG","Alpha and beta blocking agents"
